,,,,,,,,,,
,,,,,,,,,,
,,letter,name,description,prefix,suffix,price,actions,,
A,25,antelope,bouncy,ante,lope,34.88,gardening,,,
B,1,burger,meaty,burg,ger,3.5,bumping and grinding,be miserable,,seventeen twenty two
C,31,condom,is a contraceptive,con,dom,0,pitching a tent,,,
D,18,dinosaur,ancient,din,osaur,89.99,moving in herds,,,
E,10,elephant,memorable,ele,phant,51.23,forgetting his keys,,,eighteen
F,16,fly,fleeting,fl,ly,0.87,partying all night,,,
G,9,goat,devilish,go,at,6.66,chomping grass,,,five
H,7,hos,slutty,ho,os,9.99,spreading disease,,,thirty
I,,icarus,idealist,ica,rus,200.00,flies too close,,,
J,20,jellyfish,squishy,jell,yfish,75.75,loving to dance,,,
K,,kangaroo,a boxer,kang,aroo,66.50,puts stuff in its pouch,,,
L,13,lion,brave,li,on,32.33,yawning alot ,,,seven
M,38,moustache,brushy,must,ache,7,watching itself get long and bushy,,,
N,0,narwhal,magical,nar,whal,45,swimming,enjoy,,thirty four eighty eight
O,,ox,stubborn,o,x,30.00,horny but good at pulling it's weight,,,
P,28,python,huggable,py,thon,22,being very clingy,,,
Q,,qbert,8-bit,q,bert,27.75,"Hopping mad, loves blocks, hates springs",,,
R,36,ruler,precise,ru,ler,1.35,being an annoying stickler for accuracy,,,
S,11,sloth,slow,sl,oth,9.33,doing slow things fast,,,one dollar and thirty five
T,35,tree,fiberous,tr,ee,18,keeping secrets,,,
U,,UFO,unidentified,U,FO,,Will always go to spin class with you,,,
V,14,vulture,hungry,vul,ture,57.89,circling everything,,,three cents
W,,wombat,chubby,wom,bat,3.60,slow but hungry,,,
X,,xylophone,cliche,xylo,phone,7.50,loves to be hit,,,
Y,37,yarn,fluffy,ya,rn,2.75,knitting,,,
Z,23,zebra,minimalist,ze,bra,41.33,being a mime,,,
